Albany Ave & Douglas Blvd,421,
Artesian Ave & 55th St,345,21345
Ashland Ave & 63rd St,16948,
Ashland Ave & 74th St,20245,
Avenue O & 118th St,20218,
Baltimore Ave & 133rd St,581,
Bradley Park,20227,
Burling St & Diversey Pkwy,TA1309000036,
California Ave & 36th St,338,21338
California Ave & Cortez St,512,17660
Calumet Ave & 51st St,813,15470
Calumet Ave & 71st St,15599,
Campbell Ave & 51st St,383,21383
Central Park Ave & Douglas Blvd,329,21329
Central Park Ave & Ogden Ave,532,15685
Christiana Ave & Lawrence Ave,860,15615
Cicero Ave & Wrightwood Ave,547,23180
Clyde Ave & 87th St,20230,
East End Ave & 87th St,20231,
Eberhart Ave & 61st St,955,KA1503000033
Fairfield Ave & 44th St,380,21380
Francisco Ave & 47th St,381,21381
Halsted St & 111th St,875,20127
Halsted St & 63rd St,745,KA1503000055
Harding Ave & 26th St,332,21332
Harlem Ave & Grace St,325,
Homan Ave & 26th St,869,
Hoyne Ave & 34th St,337,21337
Jeffery Blvd & 67th St,753,KA1503000030
Karlov Ave & Lawrence Ave,1127,23107
Kedvale Ave & Peterson Ave,1147,24159
Kedzie Ave & 48th Pl,382,21382
Kedzie Ave & 52nd St,384,21384
Kedzie Ave & 57th St,346,21346
Kedzie Ave & 60th St,1036,
Kedzie Ave & Archer Ave,836,
Kedzie Ave & Chicago Ave,1055,KA1504000114
Kildare Ave & 26th St,365,21365
Kildare Ave & 47th St,401,21401
Kildare Ave & 55th St,403,21403
Kildare Ave & Chicago Ave,371,21371
Kildare Ave & Division St,303,21303
Kildare Ave & North Ave,1058,23192
Kostner Ave & 63rd St,406,21406
Kostner Ave & Wrightwood Ave,1018,23321
Lake Park Ave & 47th St,812,TA1308000035
Lamon Ave & Chicago Ave,302,24205
Lawler Ave & 50th St,400,21400
Lawndale Ave & 30th St,334,21334
Leamington Ave & Hirsch St,307,21307
Long Ave & Belmont Ave,317,21317
McCormick Blvd & Devon Ave,23101,
Meade Ave & Addison St,324,
Meade Ave & Diversey Ave,353,21353
Midway Orange Line,777,
Monticello Ave & Chicago Ave,301,21301
Mozart St & Jackson Blvd,418,
Nagle Ave & Belmont Ave,810,
Oketo Ave & Addison St,393,
Panama Ave & Grace St,394,
Pulaski Rd & 51st St,343,21343
Pulaski Rd & Lake St,528,
Richmond St & 59th St,388,21388
Richmond St & Lincoln Ave,452,21452
Rockwell St & 57th St,386,21386
Rockwell St & Archer Ave,379,
Shabbona Park,395,
Sheffield Ave & Fullerton Ave,TA1306000016,
South Shore Dr & 71st St,948,KA1503000002
Spaulding Ave & 16th St,366,21366
St Louis Ave & 59th St,387,21387
Steelworkers Park,20241,
Tripp Ave & 15th St,363,
Tripp Ave & 31st St,368,21368
Tripp Ave & 65th St,407,21407
Vincennes Ave & 95th St,619,
Western Ave & 62nd St,348,
Western Ave & Lake St,415,
